id,fruit,berry
101,Barbados Cherry,false
102,Cashew Apple,false
103,Chayote,false
104,Custard Apple,false
105,Cape Gooseberry,true
106,Finger Lime,false
107,Goumi,false
108,Indian Prune,false
109,Kaffir Lime,false
110,Langsat,false
111,Mamey Sapote,false
112,Mangaba,false
113,Muscadine Grapes,false
114,Nance,false
115,Naranjilla,false
116,Passion Fruit,false
117,Pepino Dulce,false
118,Physalis,false
119,Pitanga,false
120,Prickly Pear,false
121,Salak,false
122,Santol,false
123,Sapodilla,false
124,Soursop,false
125,Tamarillo,false
126,Yellow Watermelon,false
127,White Sapote,false
128,Cantaloupe Melon,false
129,Sweet Granadilla,false
130,Feijoa,false
