id,fruit,berry
161,Small Cranberry,true
162,Western Blueberry,true
163,Barbados Gooseberry,true
164,Chinese Lantern,true
165,Dwarf Cape Gooseberry,true
166,Peruvian Groundcherry,true
167,Poha Berry,true
168,Royal Berry,true
169,Strawberry Tomato,true
170,Tomato Fruit,false
171,Black Sapote,false
172,Ackee,false
173,African Cucumber,false
174,African Horned Cucumber,false
175,Barbadine,false
176,Cucumber,false
177,Doum Palm Fruit,false
178,Black Thorn Durian,false
179,Green Papaya,false
180,Horned Melon,false
